event_id,user_id,feature_name,event_date,usage_count
1,1,reports_export,2025-12-25,2
2,1,integrations,2025-12-26,2
3,1,integrations,2025-11-07,2
4,1,custom_alerts,2025-12-11,1
5,2,integrations,2024-07-28,2
6,2,core_dashboard,2024-07-15,4
7,2,custom_alerts,2024-12-02,2
8,2,integrations,2024-11-01,3
9,2,integrations,2024-08-08,3
10,2,core_dashboard,2024-12-23,1
11,2,reports_export,2024-05-19,4
12,3,team_collaboration,2024-07-27,2
13,3,api_access,2024-04-12,2
14,3,custom_alerts,2024-10-04,3
15,3,team_collaboration,2024-04-10,3
16,3,team_collaboration,2024-06-22,2
17,3,reports_export,2024-08-23,1
18,3,integrations,2024-06-29,4
19,3,api_access,2024-04-16,4
20,3,api_access,2024-04-02,1
21,3,team_collaboration,2024-03-26,1
22,3,reports_export,2024-08-08,1
23,3,reports_export,2024-05-15,1
24,3,core_dashboard,2024-04-23,2
25,3,team_collaboration,2024-08-12,3
26,3,reports_export,2024-04-23,2
27,3,custom_alerts,2024-10-08,4
28,3,core_dashboard,2024-08-08,1
29,3,integrations,2024-10-22,2
30,3,reports_export,2024-03-21,3
31,3,integrations,2024-06-11,2
32,3,core_dashboard,2024-07-20,3
33,3,team_collaboration,2024-10-12,3
34,3,reports_export,2024-07-23,3
35,3,core_dashboard,2024-02-17,4
36,4,core_dashboard,2024-11-23,3
37,4,custom_alerts,2025-01-25,3
38,4,integrations,2025-01-05,4
39,5,api_access,2024-12-18,2
40,5,api_access,2025-03-12,4
41,5,team_collaboration,2025-05-13,2
42,5,reports_export,2025-06-03,1
43,6,custom_alerts,2025-01-17,2
44,6,team_collaboration,2025-03-25,3
45,6,reports_export,2025-03-10,1
46,6,core_dashboard,2024-08-19,3
47,6,team_collaboration,2024-10-28,2
48,6,reports_export,2025-01-26,4
49,6,team_collaboration,2024-09-05,3
50,6,core_dashboard,2024-10-24,2
51,6,custom_alerts,2025-03-01,2
52,6,integrations,2024-10-10,1
53,6,team_collaboration,2025-02-06,2
54,6,reports_export,2024-12-21,1
55,6,reports_export,2025-03-29,4
56,6,reports_export,2025-03-05,1
57,6,custom_alerts,2024-10-14,1
58,6,core_dashboard,2024-10-19,2
59,6,core_dashboard,2024-09-09,3
60,6,core_dashboard,2025-01-20,1
61,7,core_dashboard,2024-09-29,3
62,7,core_dashboard,2024-05-23,4
63,7,api_access,2024-10-13,2
64,7,core_dashboard,2024-07-21,1
65,7,team_collaboration,2024-09-29,1
66,7,api_access,2024-07-10,1
67,7,custom_alerts,2024-11-15,2
68,8,integrations,2024-09-08,4
69,8,integrations,2024-08-16,4
70,8,reports_export,2024-07-16,1
71,8,core_dashboard,2024-07-10,2
72,8,core_dashboard,2024-11-03,2
73,8,api_access,2024-07-11,1
74,8,integrations,2025-01-09,3
75,8,custom_alerts,2024-05-10,2
76,8,core_dashboard,2024-05-14,2
77,8,core_dashboard,2024-05-15,3
78,8,team_collaboration,2024-12-06,1
79,8,custom_alerts,2024-05-29,2
80,8,api_access,2024-07-02,3
81,8,core_dashboard,2024-12-16,3
82,8,api_access,2024-11-02,4
83,8,core_dashboard,2024-08-10,1
84,8,core_dashboard,2024-11-26,2
85,8,team_collaboration,2024-08-08,4
86,8,team_collaboration,2024-08-06,1
87,8,team_collaboration,2024-08-04,4
88,8,team_collaboration,2024-11-27,2
89,8,custom_alerts,2024-07-03,2
90,8,reports_export,2024-09-10,3
91,8,core_dashboard,2024-09-16,4
92,8,integrations,2024-09-28,1
93,8,custom_alerts,2024-08-28,3
94,8,team_collaboration,2024-10-19,2
95,8,api_access,2024-07-28,4
96,8,reports_export,2024-08-17,1
97,9,core_dashboard,2025-12-05,3
98,9,reports_export,2025-12-14,2
99,9,core_dashboard,2025-12-03,2
100,9,core_dashboard,2025-12-08,2
101,9,custom_alerts,2025-11-29,4
102,9,core_dashboard,2025-12-06,3
103,9,core_dashboard,2025-12-08,3
104,9,core_dashboard,2025-12-18,1
105,9,integrations,2025-12-09,2
106,9,team_collaboration,2025-11-27,4
107,9,core_dashboard,2025-11-25,1
108,9,reports_export,2025-12-31,4
109,9,team_collaboration,2025-12-04,1
110,9,team_collaboration,2025-12-10,1
111,9,reports_export,2025-12-24,4
112,9,reports_export,2025-12-07,4
113,10,reports_export,2025-07-28,3
114,10,core_dashboard,2025-08-03,3
115,10,custom_alerts,2025-09-13,2
116,10,api_access,2025-09-08,1
117,10,team_collaboration,2025-11-19,1
118,10,core_dashboard,2025-08-09,4
119,10,reports_export,2025-11-10,4
120,10,core_dashboard,2025-07-25,2
121,10,custom_alerts,2025-11-19,1
122,10,api_access,2025-12-09,1
123,10,custom_alerts,2025-12-29,2
124,10,reports_export,2025-08-21,3
125,10,team_collaboration,2025-08-18,1
126,10,api_access,2025-08-09,3
127,10,integrations,2025-09-10,3
128,10,core_dashboard,2025-08-02,1
129,10,integrations,2025-11-11,4
